Date,chicago,Date,boston
2025-12-31,3.35,2025-12-22,9.71
2025-12-30,3.73,2025-12-18,5.75
2025-12-29,3.88,2025-12-17,4.5
2025-12-24,3.08,2025-12-15,17.5
2025-12-23,2.77,2025-12-12,20
2025-12-22,2.96,2025-12-11,21
2025-12-19,3.18,2025-12-10,25
2025-12-18,3.51,2025-12-08,20.59
2025-12-17,3.35,2025-12-03,21.5
2025-12-16,3.23,2025-12-02,25.59
2025-12-15,3.35,2025-12-01,14.01
2025-12-12,4.13,2025-11-26,7.97
2025-12-11,4.07,2025-11-25,7.15
2025-12-10,4.33,2025-11-13,3.9
2025-12-09,4.3,2025-10-21,2.85
2025-12-08,4.41,2025-10-20,2.5
2025-12-05,4.77,2025-10-17,2.02
2025-12-04,4.46,2025-10-16,2.18
2025-12-03,4.75,2025-10-15,2.28
2025-12-02,4.45,2025-10-02,1.73
2025-12-01,4.41,2025-09-19,1.65
2025-11-26,4.29,2025-09-12,1.9
2025-11-25,3.91,2025-09-05,2.05
2025-11-24,3.76,2025-08-14,3.05
2025-11-21,3.8,2025-08-13,4
2025-11-20,3.77,2025-08-11,8.5
2025-11-19,3.67,2025-08-08,3.65
2025-11-18,3.47,2025-08-07,3.1
2025-11-17,3.51,2025-08-06,3.08
2025-11-14,3.16,2025-08-05,3
2025-11-13,3.21,2025-08-01,2.41
2025-11-12,3.39,2025-07-30,2.8
2025-11-10,3.33,2025-07-24,4.8
2025-11-07,3.35,2025-07-14,7.44
2025-11-06,3.17,2025-07-11,3.75
2025-11-05,3.22,2025-07-09,3.1
2025-11-04,3.12,2025-06-23,7.25
2025-11-03,3.02,2025-05-28,2.9
2025-10-31,3,2025-05-16,2.1
2025-10-30,3.27,2025-05-15,3
2025-10-29,3.11,2025-04-21,2.48
2025-10-28,3.19,2025-03-28,2.9
2025-10-27,3.19,2025-03-25,3.85
2025-10-24,3.06,2025-03-19,3.65
2025-10-23,3.09,2025-03-11,3.97
2025-10-22,3.24,2025-03-07,4.7
2025-10-21,3.13,2025-03-04,4.25
2025-10-20,2.9,2025-02-27,4.25
2025-10-17,2.21,2025-02-24,4.35
2025-10-16,2.41,2025-02-20,16
2025-10-15,2.54,2025-02-19,18.5
2025-10-14,2.66,2025-01-17,40
2025-10-10,2.62,2024-12-19,10.85
2025-10-09,2.86,2024-12-17,3.3
2025-10-08,2.99,2024-12-13,7.15
2025-10-07,2.96,2024-12-06,6.85
2025-10-06,2.93,2024-12-05,14
2025-10-03,2.76,2024-11-27,10
2025-10-02,2.97,2024-11-25,3.5
2025-10-01,2.98,2024-11-22,2.85
2025-09-30,2.92,2024-11-13,2.7
2025-09-29,2.81,2024-11-12,2.78
2025-09-26,2.72,2024-10-23,2
2025-09-25,2.81,2024-10-17,1.95
2025-09-24,2.85,2024-10-16,2.11
2025-09-23,2.81,2024-10-07,1.58
2025-09-22,2.81,2024-10-04,1.58
2025-09-19,2.75,2024-10-03,1.7
2025-09-18,2.87,2024-09-13,2.21
2025-09-17,3.04,2024-09-11,2.09
2025-09-16,2.94,2024-09-06,1.9
2025-09-15,2.81,2024-08-01,1.85
2025-09-12,2.72,2024-07-24,1.83
2025-09-11,2.68,2024-07-17,2
2025-09-10,2.74,2024-07-12,2.1
2025-09-09,2.76,2024-07-10,1.94
2025-09-08,2.77,2024-07-09,2.06
2025-09-05,2.72,2024-06-28,1.6
2025-09-04,2.74,2024-06-14,2
2025-09-03,2.81,2024-06-13,1.9
2025-09-02,2.67,2024-06-12,1.9
2025-08-29,2.59,2024-06-05,1.65
2025-08-28,2.45,2024-05-31,1.33
2025-08-27,2.54,2024-05-24,1.55
2025-08-26,2.42,2024-05-21,2.1
2025-08-25,2.44,2024-05-15,1.81
2025-08-22,2.5,2024-05-13,1.65
2025-08-21,2.56,2024-04-22,1.65
2025-08-20,2.56,2024-04-17,1.55
2025-08-19,2.66,2024-04-16,1.43
2025-08-18,2.72,2024-04-15,1.35
2025-08-15,2.79,2024-04-08,1.5
2025-08-14,2.66,2024-04-05,1.6
2025-08-13,2.71,2024-04-03,2.08
2025-08-12,2.72,2024-04-02,2.1
2025-08-11,2.79,2024-03-28,1.57
2025-08-08,2.77,2024-03-27,1.45
2025-08-07,2.76,2024-03-25,1.6
2025-08-06,2.77,2024-03-20,2.1
2025-08-05,2.69,2024-03-12,1.55
2025-08-04,2.61,2024-03-11,1.55
2025-08-01,2.62,2024-03-08,1.61
2025-07-31,2.599,2024-02-27,1.49
2025-07-30,2.7,2024-02-22,2.15
2025-07-29,2.86,2024-01-31,3.35
2025-07-28,2.91,2024-01-25,2.37
2025-07-25,2.84,2024-01-24,2.55
2025-07-24,2.83,2024-01-08,3.55
2025-07-23,2.83,2023-12-15,1.75
2025-07-22,2.89,2023-12-07,2.85
2025-07-21,3.04,2023-12-05,14.35
2025-07-18,3.2,2023-12-04,6
2025-07-17,3.26,2023-11-28,10.5
2025-07-16,3.29,2023-11-21,2.78
2025-07-15,3.14,2023-11-20,3.05
2025-07-14,3.12,2023-11-17,3.7
2025-07-11,2.97,2023-11-15,2.51
2025-07-10,2.88,2023-11-08,2.04
2025-07-09,2.88,2023-11-06,1.76
2025-07-08,2.99,2023-11-03,1.6
2025-07-07,3.03,2023-10-31,4.41
2025-07-03,2.96,2023-10-30,3.23
2025-07-02,2.86,2023-10-27,1.45
2025-07-01,2.84,2023-10-26,1.28
2025-06-30,2.92,2023-10-24,1.5
2025-06-27,2.9,2023-10-23,1.8
2025-06-26,2.81,2023-10-09,1.47
2025-06-25,2.89,2023-10-05,1.26
2025-06-24,3.02,2023-10-04,1.65
2025-06-23,3.15,2023-10-02,1.55
2025-06-20,3.07,2023-09-28,1
2025-06-18,3.22,2023-09-22,1.1
2025-06-17,2.82,2023-09-20,1.25
2025-06-16,2.6,2023-09-13,1.85
2025-06-13,2.38,2023-09-06,0.2
2025-06-12,2.65,2023-08-28,1.41
2025-06-11,2.58,2023-08-23,1.35
2025-06-10,2.56,2023-08-21,1.4
2025-06-09,2.58,2023-08-11,1.55
2025-06-06,2.44,2023-08-10,1.43
2025-06-05,2.69,2023-08-09,1.55
2025-06-04,2.77,2023-08-03,1.65
2025-06-03,2.48,2023-07-27,3.78
2025-06-02,2.48,2023-07-26,6.3
2025-05-30,2.4,2023-07-25,4.8
2025-05-29,2.75,2023-07-17,2.06
2025-05-28,2.92,2023-07-14,1.8
2025-05-27,2.8,2023-07-13,1.82
2025-05-23,2.7,2023-07-11,2.25
2025-05-22,2.81,2023-07-10,2
2025-05-21,2.88,2023-06-21,1.55
2025-05-20,2.9,2023-06-15,1.68
2025-05-19,2.71,2023-06-07,1.64
2025-05-16,2.87,2023-06-06,1.8
2025-05-15,2.85,2023-06-01,2.1
2025-05-14,2.93,2023-05-01,2.43
2025-05-13,2.88,2023-04-27,1.81
2025-05-12,2.81,2023-04-26,2.3
2025-05-09,2.85,2023-04-25,2.35
2025-05-08,2.93,2023-04-21,1.9
2025-05-07,3.02,2023-04-20,1.83
2025-05-06,2.97,2023-04-19,2
2025-05-05,3.02,2023-04-18,2.21
2025-05-02,2.89,2023-04-17,2.17
2025-05-01,2.88,2023-04-14,1.57
2025-04-30,2.83,2023-04-13,1.53
2025-04-29,2.87,2023-04-12,1.75
2025-04-28,2.56,2023-04-11,1.75
2025-04-25,2.32,2023-04-10,1.75
2025-04-24,2.31,2023-03-31,2.1
2025-04-23,2.46,2023-03-29,2.55
2025-04-22,2.57,2023-03-28,2.19
2025-04-21,2.63,2023-03-27,2.25
2025-04-17,2.65,2023-03-22,2.1
2025-04-16,2.81,2023-03-16,2.45
2025-04-15,3.01,2023-03-15,3
2025-04-14,3.25,2023-03-14,3.2
2025-04-11,3.16,2023-03-13,4.6
2025-04-10,3.21,2023-03-10,2.83
2025-04-09,3.18,2023-03-09,2.84
2025-04-08,3.48,2023-03-07,3.6
2025-04-07,3.54,2023-02-28,3.15
2025-04-04,3.66,2023-02-27,7.19
2025-04-03,3.71,2023-02-22,4.5
2025-04-02,3.67,2023-02-16,2.73
2025-04-01,3.48,2023-02-15,2.15
2025-03-31,3.76,2023-02-14,2.15
2025-03-28,2.93,2023-02-10,2.8
2025-03-27,3,2023-02-08,2.5
2025-03-26,3.27,2023-02-07,2.83
2025-03-25,3.45,2023-02-06,3.25
2025-03-24,3.55,2023-01-27,3.35
2025-03-21,3.43,2023-01-26,3.35
2025-03-20,3.37,2023-01-24,3.75
2025-03-19,3.66,2023-01-23,5
2025-03-18,3.33,2023-01-18,3.35
2025-03-17,3.32,2023-01-17,4.5
2025-03-14,3.25,2023-01-12,3.6
2025-03-13,3.294,2023-01-11,3.66
2025-03-12,3.46,2023-01-06,4.7
2025-03-11,3.86,2023-01-05,4.8
2025-03-10,3.84,2023-01-04,4.1
2025-03-07,3.82,2023-01-03,3.85
2025-03-06,4.02,2022-12-29,3.85
2025-03-05,4.14,2022-12-21,7.15
2025-03-04,4.04,2022-12-20,11
2025-03-03,3.49,2022-12-15,10.5
2025-02-28,3.6,2022-12-13,27
2025-02-27,3.52,2022-12-09,15
2025-02-26,3.65,2022-12-08,7
2025-02-25,3.64,2022-12-07,5.15
2025-02-24,3.56,2022-12-06,4.35
2025-02-21,4.07,2022-12-05,4.5
2025-02-20,5.55,2022-12-02,6.55
2025-02-19,7.52,2022-12-01,6.5
2025-02-18,7.24,2022-11-30,12
2025-02-14,5.54,2022-11-29,7
2025-02-13,3.94,2022-11-28,5.9
2025-02-12,3.9,2022-11-23,6.5
2025-02-11,3.64,2022-11-22,8.4
2025-02-10,3.48,2022-11-21,12
2025-02-07,3.33,2022-11-18,13
2025-02-06,3.18,2022-11-17,9
2025-02-05,3.12,2022-11-16,9
2025-02-04,3.1,2022-11-14,6.7
2025-02-03,3.14,2022-11-09,2.39
2025-01-31,2.73,2022-11-08,3.43
2025-01-30,2.9,2022-11-07,4
2025-01-29,2.99,2022-11-04,0.95
2025-01-28,3.1,2022-11-03,2
2025-01-27,3.27,2022-11-02,3.77
2025-01-24,3.58,2022-11-01,3.65
2025-01-23,3.76,2022-10-31,3.75
2025-01-22,3.81,2022-10-27,5
2025-01-21,4.27,2022-10-26,4.56
2025-01-17,10.26,2022-10-25,4.8
2025-01-16,3.98,2022-10-24,3.95
2025-01-15,4.18,2022-10-20,4.6
2025-01-14,4.18,2022-10-19,5.65
2025-01-13,4.33,2022-10-18,6.1
2025-01-10,3.98,2022-10-13,5.4
2025-01-09,3.51,2022-10-12,6.2
2025-01-08,3.54,2022-10-11,5.75
2025-01-07,3.74,2022-10-10,6.24
2025-01-06,3.86,2022-10-06,6.15
2025-01-03,3.33,2022-10-05,6.35
2025-01-02,3.33,2022-10-03,5.1
2024-12-31,3.11,2022-09-28,5.25
2024-12-30,3.012,2022-09-26,4.3
2024-12-27,2.52,2022-09-21,6.35
2024-12-26,2.6,2022-09-20,7.3
2024-12-24,2.83,2022-09-19,7.28
2024-12-23,2.73,2022-09-12,7.61
2024-12-20,2.871,2022-09-06,7.95
2024-12-19,2.93,2022-08-31,8.5
2024-12-18,2.88,2022-08-30,8.65
2024-12-17,2.7,2022-08-29,9.07
2024-12-16,2.72,2022-08-25,8.83
2024-12-13,2.75,2022-08-24,9.18
2024-12-12,2.92,2022-08-23,9.6
2024-12-11,3,2022-08-22,9.28
2024-12-10,2.76,2022-08-18,8.85
2024-12-09,2.76,2022-08-16,8.43
2024-12-06,2.6,2022-08-11,7.8
2024-12-05,2.74,2022-08-10,7.63
2024-12-04,2.71,2022-08-09,7.58
2024-12-03,2.74,2022-08-05,8.8
2024-12-02,2.82,2022-08-01,8.07
2024-11-27,2.88,2022-07-29,7.95
2024-11-26,3.106,2022-07-27,8.4
2024-11-25,2.79,2022-07-25,8.24
2024-11-22,2.36,2022-07-22,8.84
2024-11-21,2.68,2022-07-21,11
2024-11-20,2.4,2022-07-20,27.74
2024-11-19,2,2022-07-19,10.25
2024-11-18,1.88,2022-07-18,8.5
2024-11-15,1.61,2022-07-15,6.35
2024-11-14,1.8,2022-07-13,6.12
2024-11-13,2,2022-07-12,6.4
2024-11-12,1.87,2022-07-11,6.43
2024-11-08,1.18,2022-07-08,5.4
2024-11-07,1.44,2022-06-30,6.59
2024-11-06,1.72,2022-06-28,6.25
2024-11-05,1.52,2022-06-24,5.95
2024-11-04,1.15,2022-06-16,7.85
2024-11-01,1.19,2022-06-15,7.45
2024-10-31,1.71,2022-06-13,8.7
2024-10-30,1.78,2022-06-07,8.75
2024-10-29,1.85,2022-06-02,10.39
2024-10-28,1.85,2022-06-01,11
2024-10-25,1.89,2022-05-31,8.65
2024-10-24,1.91,2022-05-27,8.5
2024-10-23,1.84,2022-05-26,8.5
2024-10-22,1.7,2022-05-20,8.57
2024-10-21,1.36,2022-05-19,8.23
2024-10-18,1.4,2022-05-18,8.15
2024-10-17,1.77,2022-05-16,8.1
2024-10-16,2,2022-05-13,7.65
2024-10-15,2,2022-05-05,8.15
2024-10-14,2.133,2022-05-04,8.7
2024-10-11,2.14,2022-05-03,8.55
2024-10-10,2.12,2022-04-28,6.4
2024-10-09,2.23,2022-04-27,11.5
2024-10-08,2.38,2022-04-22,5.94
2024-10-07,2.07,2022-04-18,7.9
2024-10-04,2.07,2022-04-13,5.85
2024-10-03,2.37,2022-04-12,6.25
2024-10-02,2.5,2022-04-07,5.95
2024-10-01,2.47,2022-04-04,5.55
2024-09-30,2.37,2022-03-29,5.35
2024-09-27,2.2,2022-03-24,4.71
2024-09-26,2.37,2022-03-23,5
2024-09-25,2.28,2022-03-22,5.15
2024-09-24,2.35,2022-03-21,4.75
2024-09-23,2.23,2022-03-17,4
2024-09-20,1.89,2022-03-16,4.05
2024-09-19,1.9,2022-03-15,4.05
2024-09-18,2.02,2022-03-14,4.35
2024-09-17,2.1,2022-03-10,4.63
2024-09-16,1.9485,2022-03-09,4.65
2024-09-13,1.8725,2022-03-08,5.31
2024-09-12,1.825,2022-03-07,4.95
2024-09-11,1.7985,2022-03-04,4.67
2024-09-10,1.7905,2022-03-01,5.15
2024-09-09,1.7815,2022-02-28,7.81
2024-09-06,1.64,2022-02-22,4.69
2024-09-05,1.64,2022-02-18,8.6
2024-09-04,1.64,2022-02-17,9.5
2024-09-03,1.64,2022-02-16,4.15
2024-08-30,1.6,2022-02-15,4.58
2024-08-29,1.52,2022-02-10,3.9
2024-08-28,1.53,2022-02-09,7.75
2024-08-27,1.62,2022-02-08,9
2024-08-26,1.79,2022-02-07,13.77
2024-08-23,1.51,2022-02-02,18.25
2024-08-22,1.51,2022-02-01,16.23
2024-08-21,1.6,2022-01-18,15
2024-08-20,1.71,2022-01-12,18
2024-08-19,1.77,2022-01-11,16.05
2024-08-16,1.73,2022-01-05,13.2
2024-08-15,1.83,2021-12-28,4
2024-08-14,1.83,2021-12-23,6.04
2024-08-13,1.76,2021-12-17,62.5
2024-08-12,1.78,2021-12-16,4
2024-08-09,1.73,2021-12-15,3.7
2024-08-08,1.67,2021-12-14,3.76
2024-08-07,1.76,2021-12-13,4.63
2024-08-06,1.73,2021-12-10,3.93
2024-08-05,1.74,2021-12-09,3.72
2024-08-02,1.69,2021-12-06,7.65
2024-08-01,1.84,2021-12-03,4.56
2024-07-31,1.76,2021-12-02,7.81
2024-07-30,1.83,2021-12-01,4.73
2024-07-29,1.72,2021-11-30,7.78
2024-07-26,1.62,2021-11-29,8.05
2024-07-25,1.58,2021-11-24,6.68
2024-07-24,1.89,2021-11-23,5.85
2024-07-23,1.81,2021-11-22,12.73
2024-07-22,1.8,2021-11-19,5.01
2024-07-19,1.758,2021-11-18,5.06
2024-07-18,1.63,2021-11-17,4.7
2024-07-17,1.65,2021-11-16,4.91
2024-07-16,1.76,2021-11-15,5.04
2024-07-15,1.94,2021-11-12,5.13
2024-07-12,1.76,2021-11-11,4.2
2024-07-11,1.67,2021-11-10,4.22
2024-07-10,1.82,2021-11-09,4.6
2024-07-09,1.91,2021-11-08,5
2024-07-08,1.78,2021-11-05,5.19
2024-07-03,1.51,2021-11-04,5.7
2024-07-02,1.57,2021-11-03,6.1
2024-07-01,1.68,2021-11-02,5.75
2024-06-28,1.83,2021-11-01,5.23
2024-06-27,1.96,2021-10-29,5.35
2024-06-26,2.13,2021-10-27,5.97
2024-06-25,2.28,2021-10-26,5.97
2024-06-24,2.252,2021-10-25,5.8
2024-06-21,2.1545,2021-10-21,5.19
2024-06-20,2.17,2021-10-20,4.7
2024-06-18,2.1,2021-10-19,4.37
2024-06-17,2.08,2021-10-18,4.85
2024-06-14,2.1,2021-10-15,5.45
2024-06-13,2.12,2021-10-14,5.85
2024-06-12,2.23,2021-10-13,5.65
2024-06-11,1.82,2021-10-12,5.12
2024-06-10,1.81,2021-10-07,5.34
2024-06-07,1.47,2021-10-06,5.89
2024-06-06,1.71,2021-10-05,6.5
2024-06-05,1.62,2021-10-04,5
2024-06-04,1.65,2021-09-30,4.75
2024-06-03,1.54,2021-09-28,4.96
2024-05-31,1.2,2021-09-27,4.65
2024-05-30,1.39,2021-09-24,4.25
2024-05-29,1.48,2021-09-23,4.49
2024-05-28,1.62,2021-09-22,4.4
2024-05-24,1.62,2021-09-21,4.3
2024-05-23,1.95,2021-09-20,4.54
2024-05-22,1.85,2021-09-17,5.3
2024-05-21,1.94,2021-09-16,5.17
2024-05-20,2.04,2021-09-15,5.5
2024-05-17,1.85,2021-09-14,5.7
2024-05-16,1.9,2021-09-13,5.05
2024-05-15,1.9,2021-09-10,4.45
2024-05-14,1.79,2021-09-09,4.3
2024-05-13,1.7,2021-09-08,4.5
2024-05-10,1.66,2021-09-07,4.4
2024-05-09,1.69,2021-09-03,3.75
2024-05-08,1.71,2021-08-30,4.14
2024-05-07,1.66,2021-08-27,4
2024-05-06,1.61,2021-08-26,4.14
2024-05-03,1.45,2021-08-25,4.35
2024-05-02,1.44,2021-08-24,4.3
2024-05-01,1.41,2021-08-23,4.35
2024-04-30,1.48,2021-08-20,3.85
2024-04-29,1.37,2021-08-19,4.07
2024-04-26,1.18,2021-08-18,3.89
2024-04-25,1.27,2021-08-17,3.87
2024-04-24,1.41,2021-08-16,3.8
2024-04-23,1.49,2021-08-13,4.15
2024-04-22,1.45,2021-08-12,4.21
2024-04-19,1.38,2021-08-11,4.88
2024-04-18,1.43,2021-08-10,4.57
2024-04-17,1.32,2021-08-09,4.15
2024-04-16,1.23,2021-08-06,4.07
2024-04-15,1.19,2021-08-05,4.13
2024-04-12,1.13,2021-07-29,2.88
2024-04-11,1.39,2021-07-28,3.07
2024-04-10,1.52,2021-07-27,3.35
2024-04-09,1.56,2021-07-26,3.85
2024-04-08,1.57,2021-07-23,3.35
2024-04-05,1.54,2021-07-20,3.43
2024-04-04,1.64,2021-07-19,3.77
2024-04-03,1.79,2021-07-15,3.7
2024-04-02,1.71,2021-07-14,3.6
2024-04-01,1.66,2021-07-13,3.52
2024-03-28,1.51,2021-07-09,3.1
2024-03-27,1.31,2021-07-08,3.1
2024-03-26,1.44,2021-07-06,3.78
2024-03-25,1.38,2021-07-02,2.92
2024-03-22,1.39,2021-07-01,3
2024-03-21,1.47,2021-06-30,4.25
2024-03-20,1.53,2021-06-29,5.06
2024-03-19,1.54,2021-06-28,4.84
2024-03-18,1.47,2021-06-25,3.95
2024-03-15,1.32,2021-06-21,2.75
2024-03-14,1.27,2021-06-18,3
2024-03-13,1.21,2021-06-17,2.65
2024-03-12,1.31,2021-06-16,2.42
2024-03-11,1.41,2021-06-15,2.3
2024-03-08,1.47,2021-06-14,2.45
2024-03-07,1.4955,2021-06-11,2.24
2024-03-06,1.59,2021-06-10,2.4
2024-03-05,1.58,2021-06-09,2.5
2024-03-04,1.51,2021-06-08,3.45
2024-03-01,1.41,2021-06-07,3.65
2024-02-29,1.49,2021-06-04,2.9
2024-02-28,1.55,2021-06-03,2.05
2024-02-27,1.46,2021-05-28,2.45
2024-02-26,1.4,2021-05-26,2.5
2024-02-23,1.35,2021-05-25,2.62
2024-02-22,1.47,2021-05-24,2.4
2024-02-21,1.53,2021-05-21,2.48
2024-02-20,1.43,2021-05-20,2.55
2024-02-16,1.51,2021-05-19,2.75
2024-02-15,1.54,2021-05-18,3
2024-02-14,1.5,2021-05-17,3.25
2024-02-13,1.59,2021-05-14,2
2024-02-12,1.72,2021-05-13,2.16
2024-02-09,1.677,2021-05-12,2.26
2024-02-08,1.63,2021-05-11,2.4
2024-02-07,1.69,2021-05-10,3.1
2024-02-06,1.83,2021-05-07,2.75
2024-02-05,1.94,2021-05-06,2.4
2024-02-02,1.75,2021-05-05,3.06
2024-02-01,1.91,2021-05-04,2.55
2024-01-31,1.93,2021-05-03,3.25
2024-01-30,1.98,2021-04-30,1.8
2024-01-29,2.09,2021-04-29,2.4
2024-01-26,2.1,2021-04-28,2.5
2024-01-25,2.25,2021-04-27,2.55
2024-01-24,2.25,2021-04-26,2.66
2024-01-23,2.08,2021-04-23,2.3
2024-01-22,2.08,2021-04-22,2.75
2024-01-19,2.56,2021-04-21,4.5
2024-01-18,3.12,2021-04-20,2.7
2024-01-17,2.94,2021-04-19,2.5
2024-01-16,4.01,2021-04-15,3.42
2024-01-12,24.08,2021-04-14,2.4
2024-01-11,3,2021-04-13,2.25
2024-01-10,2.9,2021-04-12,1.9
2024-01-09,3.02,2021-04-08,2
2024-01-08,2.54,2021-04-07,2.1
2024-01-05,2.43,2021-04-05,2.15
2024-01-04,2.56,2021-04-01,2.25
2024-01-03,2.51,2021-03-31,2.58
2024-01-02,2.48,2021-03-30,1.95
2023-12-29,2.13,2021-03-29,2
2023-12-28,2.13,2021-03-26,1.95
2023-12-27,2.1,2021-03-25,2.1
2023-12-26,1.94,2021-03-24,2.03
2023-12-22,1.64,2021-03-23,2.15
2023-12-21,1.99,2021-03-22,2.16
2023-12-20,2.16,2021-03-19,2.25
2023-12-19,2.11,2021-03-18,3.52
2023-12-18,2.27,2021-03-17,2.8
2023-12-15,2.19,2021-03-16,2.74
2023-12-14,2.09,2021-03-15,4.05
2023-12-13,2.04,2021-03-12,5
2023-12-12,2.15,2021-03-11,2.33
2023-12-11,2.12,2021-03-08,2.85
2023-12-08,2.23,2021-03-04,8
2023-12-07,2.12,2021-03-03,8.25
2023-12-06,2.37,2021-03-02,4.75
2023-12-05,2.51,2021-03-01,7.15
2023-12-04,2.42,2021-02-26,4
2023-12-01,2.37,2021-02-25,2.68
2023-11-30,2.46,2021-02-24,3.55
2023-11-29,2.53,2021-02-23,3.19
2023-11-28,2.6,2021-02-22,4.31
2023-11-27,2.69,2021-02-19,6.83
2023-11-22,2.52,2021-02-18,8.72
2023-11-21,2.39,2021-02-17,10.7
2023-11-20,2.35,2021-02-16,10.35
2023-11-17,2.37,2021-02-12,8.02
2023-11-16,2.54,2021-02-11,12.03
2023-11-15,2.54,2021-02-10,10.34
2023-11-14,2.64,2021-02-09,10.32
2023-11-13,2.42,2021-02-08,10.31
2023-11-09,2.17,2021-02-05,10.13
2023-11-08,2.2,2021-02-04,6.6
2023-11-07,1.78,2021-02-03,8.62
2023-11-06,1.86,2021-02-02,8.13
2023-11-03,2.09,2021-02-01,7.1
2023-11-02,2.53,2021-01-29,4.8
2023-11-01,2.72,2021-01-28,11.29
2023-10-31,3.01,2021-01-27,9.92
2023-10-30,3.32,2021-01-26,4.61
2023-10-27,2.9,2021-01-25,4.68
2023-10-26,2.33,2021-01-22,5.04
2023-10-25,2.032,2021-01-21,2.86
2023-10-24,1.96,2021-01-19,4.51
2023-10-23,1.97,2021-01-15,5.21
2023-10-20,1.81,2021-01-14,3.03
2023-10-19,2.24,2021-01-13,4.54
2023-10-18,2.3,2021-01-12,4.37
2023-10-17,2.11,2021-01-11,3.67
2023-10-16,1.95,2021-01-08,3.85
2023-10-13,1.84,2021-01-07,3.36
2023-10-12,2.24,2021-01-05,3.3
2023-10-11,2.37,2021-01-04,3.39
2023-10-10,2.51,2020-12-31,2.47
2023-10-09,2.48,2020-12-30,2.69
2023-10-06,2.55,2020-12-29,3.38
2023-10-05,2.48,2020-12-28,4.06
2023-10-04,2.54,2020-12-23,2.5
2023-10-03,2.35,2020-12-22,3.35
2023-10-02,2.28,2020-12-21,4.04
2023-09-29,2.13,2020-12-18,7.41
2023-09-28,2.24,2020-12-17,11.18
2023-09-27,2.27,2020-12-16,10.02
2023-09-26,2.21,2020-12-15,7.19
2023-09-25,2.17,2020-12-14,6.46
2023-09-22,2.08,2020-12-11,2.2
2023-09-21,2.18,2020-12-10,2.2
2023-09-20,2.21,2020-12-09,2.9
2023-09-19,2.4,2020-12-08,2.61
2023-09-18,2.34,2020-12-07,2.91
2023-09-15,2.35,2020-12-04,3
2023-09-14,2.42,2020-12-03,2.18
2023-09-13,2.34,2020-12-02,2.36
2023-09-12,2.35,2020-12-01,2.74
2023-09-11,2.33,2020-11-30,2.35
2023-09-08,2.32,2020-11-26,1.3
2023-09-07,2.31,2020-11-25,1.3
2023-09-06,2.26,2020-11-24,1.98
2023-09-05,2.32,2020-11-23,3.26
2023-09-01,2.31,2020-11-20,1.83
2023-08-31,2.31,2020-11-19,1.5
2023-08-30,2.31,2020-11-18,2.18
2023-08-29,2.3,2020-11-17,4.56
2023-08-28,2.37,2020-11-16,4.46
2023-08-25,2.16,2020-11-13,2.15
2023-08-24,2.21,2020-11-12,2.11
2023-08-23,2.35,2020-11-10,0.95
2023-08-22,2.41,2020-11-09,0.69
2023-08-21,2.39,2020-11-05,0.78
2023-08-18,2.27,2020-11-04,0.93
2023-08-17,2.36,2020-11-03,1.9
2023-08-16,2.38,2020-11-02,3.4
2023-08-15,2.46,2020-10-28,6.5
