Date,chicago,Date,boston
2023-08-14,2.5,2020-10-27,2.6
2023-08-11,2.49,2020-10-26,3.2
2023-08-10,2.6,2020-10-22,1.6
2023-08-09,2.62,2020-10-21,1.7
2023-08-08,2.44,2020-10-20,2.15
2023-08-07,2.41,2020-10-19,2
2023-08-04,2.26,2020-10-15,1.85
2023-08-03,2.25,2020-10-14,1.66
2023-08-02,2.22,2020-10-13,1.7
2023-08-01,2.24,2020-10-12,1.71
2023-07-31,2.3,2020-10-09,0.74
2023-07-28,2.27,2020-10-08,0.86
2023-07-27,2.35,2020-10-07,1.43
2023-07-26,2.43,2020-10-06,1.45
2023-07-25,2.38,2020-10-05,1.45
2023-07-24,2.43,2020-10-01,0.9
2023-07-21,2.4,2020-09-30,1.35
2023-07-20,2.37,2020-09-29,1.35
2023-07-19,2.29,2020-09-28,1.58
2023-07-18,2.3,2020-09-25,1.2
2023-07-17,2.25,2020-09-24,1.65
2023-07-14,2.22,2020-09-23,1.5
2023-07-13,2.23,2020-09-18,1.4
2023-07-12,2.33,2020-09-17,1.15
2023-07-11,2.35,2020-09-16,1.25
2023-07-10,2.28,2020-09-15,1.3
2023-07-07,2.06,2020-09-11,1.35
2023-07-06,2.15,2020-09-10,1.54
2023-07-05,2.34,2020-09-09,1.9
2023-06-30,2.27,2020-09-08,2.4
2023-06-29,2.38,2020-09-03,1.63
2023-06-28,2.43,2020-09-02,1.8
2023-06-27,2.48,2020-09-01,1.65
2023-06-26,2.39,2020-08-28,1.2
2023-06-23,2.16,2020-08-27,1.4
2023-06-22,2.22,2020-08-26,1.55
2023-06-21,2.17,2020-08-25,1.55
2023-06-20,2.28,2020-08-24,1.81
2023-06-16,2.05,2020-08-21,1.48
2023-06-15,2.04,2020-08-20,1.43
2023-06-14,1.99,2020-08-18,1.55
2023-06-13,1.97,2020-08-17,1.56
2023-06-12,1.91,2020-08-14,1.3
2023-06-09,1.73,2020-08-13,1.49
2023-06-08,1.93,2020-08-12,1.7
2023-06-07,1.95,2020-08-11,2.11
2023-06-06,1.88,2020-08-10,2.25
2023-06-05,1.89,2020-08-06,1.45
2023-06-02,1.76,2020-08-05,1.6
2023-06-01,1.73,2020-08-04,1.85
2023-05-31,1.95,2020-08-03,1.72
2023-05-30,1.96,2020-07-31,1.6
2023-05-26,1.62,2020-07-30,1.59
2023-05-25,1.93,2020-07-29,1.84
2023-05-24,2,2020-07-28,1.94
2023-05-23,2.11,2020-07-27,1.85
2023-05-22,2.12,2020-07-24,1.83
2023-05-19,2.2,2020-07-23,1.6
2023-05-18,2.06,2020-07-22,1.62
2023-05-17,2.16,2020-07-21,1.58
2023-05-16,2.34,2020-07-20,1.7
2023-05-15,2.19,2020-07-17,1.83
2023-05-12,1.831,2020-07-16,1.52
2023-05-11,1.83,2020-07-14,1.6
2023-05-10,1.78,2020-07-13,1.55
2023-05-09,1.96,2020-07-10,1.66
2023-05-08,1.95,2020-07-09,1.6
2023-05-05,1.58,2020-07-08,1.8
2023-05-04,1.73,2020-07-02,1.55
2023-05-03,1.88,2020-07-01,1.58
2023-05-02,1.98,2020-06-30,1.74
2023-05-01,2.11,2020-06-26,1.5
2023-04-28,2.13,2020-06-25,1.55
2023-04-27,1.95,2020-06-24,1.57
2023-04-26,2.04,2020-06-23,1.72
2023-04-25,2.14,2020-06-22,1.86
2023-04-24,2.22,2020-06-19,1.64
2023-04-21,2.13,2020-06-18,1.6
2023-04-20,1.98,2020-06-16,1.45
2023-04-19,1.96,2020-06-12,1.35
2023-04-18,2.09,2020-06-11,1.75
2023-04-17,2.13,2020-06-09,1.65
2023-04-14,1.66,2020-06-08,1.8
2023-04-13,1.57,2020-06-05,1.4
2023-04-12,1.88,2020-06-04,1.68
2023-04-11,2.05,2020-06-03,1.7
2023-04-10,1.97,2020-06-02,1.8
2023-04-06,2.07,2020-06-01,1.55
2023-04-05,2.2,2020-05-27,1.6
2023-04-04,2.15,2020-05-26,1.9
2023-04-03,2.05,2020-05-21,1.75
2023-03-31,2.11,2020-05-20,1.75
2023-03-30,1.95,2020-05-18,1.75
2023-03-29,2,2020-05-14,1.08
2023-03-28,2.16,2020-05-13,1.2
2023-03-27,2.19,2020-05-11,1.75
2023-03-24,2.08,2020-05-06,1.85
2023-03-23,2.08,2020-05-05,1.9
2023-03-22,2.17,2020-05-04,1.6
2023-03-21,2.06,2020-04-29,1.71
2023-03-20,2.23,2020-04-28,1.73
2023-03-17,2.38,2020-04-27,1.78
2023-03-16,2.52,2020-04-24,1.82
2023-03-15,2.36,2020-04-23,1.88
2023-03-14,2.49,2020-04-22,1.9
2023-03-13,2.55,2020-04-21,1.91
2023-03-10,2.41,2020-04-20,1.82
2023-03-09,2.53,2020-04-16,1.55
2023-03-08,2.51,2020-04-15,1.74
2023-03-07,2.54,2020-04-14,1.76
2023-03-06,2.49,2020-04-13,1.75
2023-03-03,2.59,2020-04-09,1.46
2023-03-02,2.63,2020-04-08,1.85
2023-03-01,2.53,2020-04-06,1.65
2023-02-28,2.45,2020-04-03,1.4
2023-02-27,2.42,2020-04-02,1.41
2023-02-24,2.28,2020-04-01,1.46
2023-02-23,2.29,2020-03-31,1.64
2023-02-22,2.35,2020-03-30,1.53
2023-02-21,2.18,2020-03-27,1.3
2023-02-17,2.26,2020-03-26,1.45
2023-02-16,2.46,2020-03-25,1.6
2023-02-15,2.41,2020-03-24,1.67
2023-02-14,2.36,2020-03-23,1.55
2023-02-13,2.32,2020-03-20,1.6
2023-02-10,2.33,2020-03-19,1.36
2023-02-09,2.35,2020-03-18,1.42
2023-02-08,2.43,2020-03-16,1.69
2023-02-07,2.38,2020-03-13,1.78
2023-02-06,2.19,2020-03-12,1.56
2023-02-03,2.41,2020-03-11,1.76
2023-02-02,2.84,2020-03-10,1.8
2023-02-01,2.71,2020-03-09,1.57
2023-01-31,2.82,2020-03-06,1.62
2023-01-30,3.7,2020-03-05,1.81
2023-01-27,4.03,2020-03-04,1.69
2023-01-26,2.95,2020-03-03,1.69
2023-01-25,2.98,2020-03-02,1.75
2023-01-24,3.13,2020-02-28,1.75
2023-01-23,3.22,2020-02-27,2.3
2023-01-20,3.08,2020-02-26,2
2023-01-19,2.95,2020-02-25,1.94
2023-01-18,2.99,2020-02-24,1.93
2023-01-17,3.13,2020-02-20,2.33
2023-01-13,3.11,2020-02-19,2.7
2023-01-12,3.44,2020-02-18,2.34
2023-01-11,3.13,2020-02-14,2.12
2023-01-10,3.11,2020-02-13,3.49
2023-01-09,3.46,2020-02-12,2.45
2023-01-06,3.26,2020-02-11,1.95
2023-01-05,3.4,2020-02-10,2.06
2023-01-04,3.43,2020-02-07,2.7
2023-01-03,3.49,2020-02-06,2.63
2022-12-30,3.48,2020-02-05,1.92
2022-12-29,3.49,2020-02-04,2.14
2022-12-28,3.97,2020-02-03,1.99
2022-12-27,5,2020-01-31,1.82
2022-12-23,8.31,2020-01-30,1.8
2022-12-22,11.81,2020-01-29,2.2
2022-12-21,15.04,2020-01-28,2.36
2022-12-20,5.34,2020-01-27,2.05
2022-12-19,6.32,2020-01-24,1.92
2022-12-16,6.26,2020-01-23,1.95
2022-12-15,6.24,2020-01-22,2
2022-12-14,5.69,2020-01-21,2.7
2022-12-13,6.01,2020-01-17,4.76
2022-12-12,5.71,2020-01-16,6.87
2022-12-09,4.9,2020-01-15,2.88
2022-12-08,4.72,2020-01-14,2.4
2022-12-07,4.33,2020-01-13,2.32
2022-12-06,4.36,2020-01-10,1.87
2022-12-05,4.41,2020-01-09,2.05
2022-12-02,4.67,2020-01-08,2.67
2022-12-01,5.55,2020-01-07,3.02
2022-11-30,5.98,2020-01-06,2.97
2022-11-29,6.43,2020-01-03,2.44
2022-11-28,5.6,2020-01-02,2.22
2022-11-23,6.23,2019-12-31,2.31
2022-11-22,5.82,,
2022-11-21,6.18,,
2022-11-18,6,,
2022-11-17,6.23,,
2022-11-16,5.64,,
2022-11-15,5.89,,
2022-11-14,6.19,,
2022-11-10,5.02,,
2022-11-09,3.51,,
2022-11-08,3.48,,
2022-11-07,4,,
2022-11-04,1.54,,
2022-11-03,3.32,,
2022-11-02,3.62,,
2022-11-01,3.65,,
2022-10-31,4.36,,
2022-10-28,4.5,,
2022-10-27,4.97,,
2022-10-26,5.03,,
2022-10-25,4.93,,
2022-10-24,4.34,,
2022-10-21,3.86,,
2022-10-20,4.68,,
2022-10-19,5.2,,
2022-10-18,5.87,,
2022-10-17,5.8,,
2022-10-14,5.4865,,
2022-10-13,5.53,,
2022-10-12,5.8,,
2022-10-11,5.31,,
2022-10-10,5.53,,
2022-10-07,5.5,,
2022-10-06,6.37,,
2022-10-05,6.15,,
2022-10-04,5.25,,
2022-10-03,4.72,,
2022-09-30,4.58,,
2022-09-29,5.06,,
2022-09-28,5.16,,
2022-09-27,5.38,,
2022-09-26,5.08,,
2022-09-23,4.91,,
2022-09-22,6.34,,
2022-09-21,6.81,,
2022-09-20,7,,
2022-09-19,6.97,,
2022-09-16,6.92,,
2022-09-15,7.67,,
2022-09-14,8.08,,
2022-09-13,7.72,,
2022-09-12,7.55,,
2022-09-09,7.38,,
2022-09-08,7.53,,
2022-09-07,7.61,,
2022-09-06,7.92,,
2022-09-02,8.33,,
2022-09-01,8.77,,
2022-08-31,8.48,,
2022-08-30,8.46,,
2022-08-29,8.77,,
2022-08-26,8.72,,
2022-08-25,8.73,,
2022-08-24,8.75,,
2022-08-23,9.17,,
2022-08-22,8.89,,
2022-08-19,8.56,,
2022-08-18,8.67,,
2022-08-17,8.91,,
2022-08-16,8.74,,
2022-08-15,8.08,,
2022-08-12,8.26,,
2022-08-11,8.18,,
2022-08-10,7.76,,
2022-08-09,7.66,,
2022-08-08,7.42,,
2022-08-05,7.84,,
2022-08-04,7.86,,
2022-08-03,7.54,,
2022-08-02,7.53,,
2022-08-01,7.7,,
2022-07-29,7.97,,
2022-07-28,8.3,,
2022-07-27,8.39,,
2022-07-26,8.73,,
2022-07-25,8.26,,
2022-07-22,8.09,,
2022-07-21,7.76,,
2022-07-20,7.35,,
2022-07-19,7.16,,
2022-07-18,7.29,,
2022-07-15,6.35,,
2022-07-14,6.55,,
2022-07-13,6.29,,
2022-07-12,6.35,,
2022-07-11,6.4,,
2022-07-08,5.91,,
2022-07-07,5.88,,
2022-07-06,5.36,,
2022-07-05,5.38,,
2022-07-01,5.43,,
2022-06-30,6.07,,
2022-06-29,6.49,,
2022-06-28,6.47,,
2022-06-27,5.99,,
2022-06-24,5.91,,
2022-06-23,6.3,,
2022-06-22,6.52,,
2022-06-21,6.49,,
2022-06-17,6.92,,
2022-06-16,7.51,,
2022-06-15,7.4,,
2022-06-14,7,,
2022-06-13,8.39,,
2022-06-10,8.27,,
2022-06-09,7.89,,
2022-06-08,9.11,,
2022-06-07,8.9,,
2022-06-06,8.68,,
2022-06-03,7.94,,
2022-06-02,8.41,,
2022-06-01,8.18,,
2022-05-31,8.05,,
2022-05-27,7.84,,
2022-05-26,8.62,,
2022-05-25,8.93,,
2022-05-24,8.41,,
2022-05-23,8.07,,
2022-05-20,7.85,,
2022-05-19,8,,
2022-05-18,8.13,,
2022-05-17,8.04,,
2022-05-16,7.8,,
2022-05-13,7.29,,
2022-05-12,7.31,,
2022-05-11,7.42,,
2022-05-10,6.73,,
2022-05-09,7.26,,
2022-05-06,8.07,,
2022-05-05,8.06,,
2022-05-04,8.19,,
2022-05-03,7.9,,
2022-05-02,7.28,,
2022-04-29,6.6835,,
2022-04-28,6.65,,
2022-04-27,6.97,,
2022-04-26,6.87,,
2022-04-25,6.6,,
2022-04-22,6.38,,
2022-04-21,6.6,,
2022-04-20,6.74,,
2022-04-19,7.05,,
2022-04-18,7.62,,
2022-04-14,6.94,,
2022-04-13,6.66,,
2022-04-12,6.58,,
2022-04-11,6.43,,
2022-04-08,6.07,,
2022-04-07,5.98,,
2022-04-06,6.21,,
2022-04-05,5.85,,
2022-04-04,5.54,,
2022-04-01,5.39,,
2022-03-31,5.37,,
2022-03-30,5.15,,
2022-03-29,5.03,,
2022-03-28,5.1,,
2022-03-25,5.19,,
2022-03-24,4.81,,
2022-03-23,4.76,,
2022-03-22,4.61,,
2022-03-21,4.22,,
2022-03-18,4.49,,
2022-03-17,4.5,,
2022-03-16,4.21,,
2022-03-15,4.26,,
2022-03-14,4.29,,
2022-03-11,4.51,,
2022-03-10,4.48,,
2022-03-09,4.46,,
2022-03-08,4.53,,
2022-03-07,4.73,,
2022-03-04,4.56,,
2022-03-03,4.39,,
2022-03-02,4.45,,
2022-03-01,4.25,,
2022-02-28,4.1,,
2022-02-25,4.36,,
2022-02-24,4.83,,
2022-02-23,4.72,,
2022-02-22,4.59,,
2022-02-18,4.37,,
2022-02-17,4.47,,
2022-02-16,4.32,,
2022-02-15,3.98,,
2022-02-14,3.88,,
2022-02-11,3.78,,
2022-02-10,3.66,,
2022-02-09,3.79,,
2022-02-08,4.08,,
2022-02-07,4.1,,
2022-02-04,5.07,,
2022-02-03,5.39,,
2022-02-02,6.37,,
2022-02-01,5.31,,
2022-01-31,5.08,,
2022-01-28,5.13,,
2022-01-27,4.41,,
2022-01-26,4.24,,
2022-01-25,4.12,,
2022-01-24,4.25,,
2022-01-21,3.89,,
2022-01-20,3.99,,
2022-01-19,4.65,,
2022-01-18,4.45,,
2022-01-14,4.13,,
2022-01-13,4.43,,
2022-01-12,4.41,,
2022-01-11,3.87,,
2022-01-10,3.96,,
2022-01-07,3.93,,
2022-01-06,3.95,,
2022-01-05,4.42,,
2022-01-04,3.89,,
2022-01-03,3.45,,
2021-12-30,3.63,,
2021-12-29,3.51,,
2021-12-28,3.56,,
2021-12-27,3.39,,
2021-12-23,3.34,,
2021-12-22,3.77,,
2021-12-21,3.7,,
2021-12-20,3.72,,
2021-12-17,3.52,,
2021-12-16,3.61,,
2021-12-15,3.59,,
2021-12-14,3.4,,
2021-12-13,3.92,,
2021-12-10,3.53,,
2021-12-09,3.44,,
2021-12-08,3.57,,
2021-12-07,3.55,,
2021-12-06,3.47,,
2021-12-03,3.73,,
2021-12-02,4.08,,
2021-12-01,3.94,,
2021-11-30,4.17,,
2021-11-29,4.69,,
2021-11-24,4.76,,
2021-11-23,4.7,,
2021-11-22,4.52,,
2021-11-19,4.78,,
2021-11-18,4.85,,
2021-11-17,4.73,,
2021-11-16,4.94,,
2021-11-15,4.54,,
2021-11-12,4.71,,
2021-11-11,4.71,,
2021-11-10,4.42,,
2021-11-09,4.66,,
2021-11-08,5.19,,
2021-11-05,5.1,,
2021-11-04,5.54,,
2021-11-03,5.51,,
2021-11-02,5.31,,
2021-11-01,5.01,,
2021-10-29,5.16,,
2021-10-28,5.38,,
2021-10-27,5.85,,
2021-10-26,5.56,,
2021-10-25,5.58,,
2021-10-22,4.98,,
2021-10-21,4.91,,
2021-10-20,4.8,,
2021-10-19,4.6,,
2021-10-18,4.76,,
2021-10-15,5.01,,
2021-10-14,5.6,,
2021-10-13,5.15,,
2021-10-12,5.08,,
2021-10-11,5.08,,
2021-10-08,5.15,,
2021-10-07,5.39,,
2021-10-06,5.72,,
2021-10-05,6.02,,
2021-10-04,5.75,,
2021-10-01,5.28,,
2021-09-30,5.39,,
2021-09-29,5.29,,
2021-09-28,5.44,,
2021-09-27,5.06,,
2021-09-24,4.48,,
2021-09-23,4.62,,
2021-09-22,4.64,,
2021-09-21,4.63,,
2021-09-20,4.95,,
2021-09-17,5.03,,
2021-09-16,5.24,,
2021-09-15,5.49,,
2021-09-14,5.11,,
2021-09-13,5.08,,
2021-09-10,4.81,,
2021-09-09,4.73,,
2021-09-08,4.75,,
2021-09-07,4.45,,
2021-09-03,4.52,,
2021-09-02,4.51,,
2021-09-01,4.4,,
2021-08-31,4.18,,
2021-08-30,4.13,,
2021-08-27,4.2,,
2021-08-26,4.02,,
2021-08-25,3.937,,
2021-08-24,3.9,,
2021-08-23,3.9,,
2021-08-20,3.76,,
2021-08-19,3.65,,
2021-08-18,3.71,,
2021-08-17,3.72,,
2021-08-16,3.75,,
2021-08-13,3.76,,
2021-08-12,3.85,,
2021-08-11,3.91,,
2021-08-10,3.97,,
2021-08-09,3.97,,
2021-08-06,4.03,,
2021-08-05,4.05,,
2021-08-04,4,,
2021-08-03,3.81,,
2021-08-02,3.83,,
2021-07-30,3.68,,
2021-07-29,3.81,,
2021-07-28,3.86,,
2021-07-27,3.9,,
2021-07-26,3.95,,
2021-07-23,3.88,,
2021-07-22,3.74,,
2021-07-21,3.75,,
2021-07-20,3.66,,
2021-07-19,3.63,,
2021-07-16,3.46,,
2021-07-15,3.47,,
2021-07-14,3.56,,
2021-07-13,3.52,,
2021-07-12,3.55,,
2021-07-09,3.48,,
2021-07-08,3.44,,
2021-07-07,3.4,,
2021-07-06,3.45,,
2021-07-02,3.41,,
2021-07-01,3.3125,,
2021-06-30,3.53,,
2021-06-29,3.72,,
2021-06-28,3.61,,
2021-06-25,3.32,,
2021-06-24,3.17,,
2021-06-23,3.14,,
2021-06-22,3.05,,
2021-06-21,2.99,,
2021-06-18,3.06,,
2021-06-17,3.1,,
2021-06-16,3.09,,
2021-06-15,3.19,,
2021-06-14,3.18,,
2021-06-11,3.15,,
2021-06-10,3.05,,
2021-06-09,3.06,,
2021-06-08,3.08,,
2021-06-07,2.99,,
2021-06-04,2.87,,
2021-06-03,2.83,,
2021-06-02,2.94,,
2021-06-01,2.93,,
2021-05-28,2.77,,
2021-05-27,2.72,,
2021-05-26,2.8,,
2021-05-25,2.78,,
2021-05-24,2.71,,
2021-05-21,2.74,,
2021-05-20,2.78,,
2021-05-19,2.78,,
2021-05-18,2.86,,
2021-05-17,2.88,,
2021-05-14,2.69,,
2021-05-13,2.76,,
2021-05-12,2.778,,
2021-05-11,2.78,,
2021-05-10,2.78,,
2021-05-07,2.73,,
2021-05-06,2.76,,
2021-05-05,2.76,,
2021-05-04,2.78,,
2021-05-03,2.76,,
2021-04-30,2.64,,
2021-04-29,2.72,,
2021-04-28,2.79,,
2021-04-27,2.73,,
2021-04-26,2.57,,
2021-04-23,2.6,,
2021-04-22,2.63,,
2021-04-21,2.67,,
2021-04-20,2.77,,
2021-04-19,2.71,,
2021-04-16,2.6,,
2021-04-15,2.54,,
2021-04-14,2.54,,
2021-04-13,2.53,,
2021-04-12,2.43,,
2021-04-09,2.34,,
2021-04-08,2.37,,
2021-04-07,2.3,,
2021-04-06,2.25,,
2021-04-05,2.24,,
2021-04-01,2.39,,
2021-03-31,2.54,,
2021-03-30,2.39,,
2021-03-29,2.34,,
2021-03-26,2.29,,
2021-03-25,2.39,,
2021-03-24,2.34,,
2021-03-23,2.47,,
2021-03-22,2.36,,
2021-03-19,2.28,,
2021-03-18,2.37,,
2021-03-17,2.42,,
2021-03-16,2.38,,
2021-03-15,2.42,,
2021-03-12,2.46,,
2021-03-11,2.53,,
2021-03-10,2.5,,
2021-03-09,2.43,,
2021-03-08,2.47,,
2021-03-05,2.57,,
2021-03-04,2.62,,
2021-03-03,2.72,,
2021-03-02,2.75,,
2021-03-01,2.64,,
2021-02-26,2.59,,
2021-02-25,2.52,,
2021-02-24,2.69,,
2021-02-23,2.72,,
2021-02-22,2.72,,
2021-02-19,3.93,,
2021-02-18,6.18,,
2021-02-17,18.35,,
2021-02-16,21.99,,
2021-02-12,93.42,,
2021-02-11,7.94,,
2021-02-10,4.1,,
2021-02-09,3.27,,
2021-02-08,3.22,,
2021-02-05,3.51,,
2021-02-04,2.95,,
2021-02-03,2.84,,
2021-02-02,2.96,,
2021-02-01,2.76,,
2021-01-29,2.6,,
2021-01-28,2.56,,
2021-01-27,2.58,,
2021-01-26,2.58,,
2021-01-25,2.47,,
2021-01-22,2.38,,
2021-01-21,2.42,,
2021-01-20,2.35,,
2021-01-19,2.44,,
2021-01-15,2.64,,
2021-01-14,2.63,,
2021-01-13,2.62,,
2021-01-12,2.71,,
2021-01-11,2.55,,
2021-01-08,2.6,,
2021-01-07,2.64,,
2021-01-06,2.58,,
2021-01-05,2.58,,
2021-01-04,2.47,,
2020-12-31,2.3,,
2020-12-30,2.29,,
2020-12-29,2.27,,
2020-12-28,2.16,,
2020-12-24,2.48,,
2020-12-23,2.58,,
2020-12-22,2.6,,
2020-12-21,2.49,,
2020-12-18,2.56,,
2020-12-17,2.53,,
2020-12-16,2.54,,
2020-12-15,2.54,,
2020-12-14,2.58,,
2020-12-11,2.41,,
2020-12-10,2.25,,
2020-12-09,2.27,,
2020-12-08,2.21,,
2020-12-07,2.19,,
2020-12-04,2.33,,
2020-12-03,2.29,,
2020-12-02,2.6,,
2020-12-01,2.53,,
2020-11-30,2.66,,
2020-11-26,2.44,,
2020-11-25,2.44,,
2020-11-24,2.25,,
2020-11-23,2.24,,
2020-11-20,2.16,,
2020-11-19,2.06,,
2020-11-18,2.09,,
2020-11-17,2.3,,
2020-11-16,2.44,,
2020-11-13,2.66,,
2020-11-12,2.67,,
2020-11-11,2.56,,
2020-11-10,2.53,,
2020-11-09,2.33,,
2020-11-06,1.96,,
2020-11-05,2.2,,
2020-11-04,2.4,,
2020-11-03,2.64,,
2020-11-02,2.93,,
2020-10-29,2.91,,
2020-10-28,2.99,,
2020-10-27,3.05,,
2020-10-26,3.06,,
2020-10-23,2.91,,
2020-10-22,2.93,,
2020-10-21,2.7,,
2020-10-20,2.68,,
2020-10-19,2.39,,
2020-10-16,2.14,,
2020-10-15,2.24,,
2020-10-14,2.07,,
2020-10-13,1.92,,
2020-10-12,1.75,,
2020-10-09,1.24,,
2020-10-08,1.17,,
2020-10-07,1.56,,
2020-10-06,1.53,,
2020-10-05,1.45,,
2020-10-02,1.06,,
2020-10-01,1.27,,
2020-09-30,1.43,,
2020-09-29,1.35,,
2020-09-28,1.54,,
2020-09-25,1.69,,
2020-09-24,1.89,,
2020-09-23,1.74,,
2020-09-22,1.5,,
2020-09-21,1.44,,
2020-09-18,1.45,,
2020-09-17,1.65,,
2020-09-16,1.9,,
2020-09-15,1.91,,
2020-09-14,1.93,,
2020-09-11,1.78,,
2020-09-10,1.9,,
2020-09-09,1.95,,
2020-09-08,1.99,,
2020-09-04,1.99,,
2020-09-03,2.18,,
2020-09-02,2.15,,
2020-09-01,2.09,,
2020-08-31,2.07,,
2020-08-28,2.18,,
2020-08-27,2.28,,
2020-08-26,2.32,,
2020-08-24,2.39,,
2020-08-21,2.12,,
2020-08-20,2.19,,
2020-08-19,2.22,,
2020-08-18,2.2,,
2020-08-17,2.16,,
2020-08-14,2.1,,
2020-08-13,2.03,,
2020-08-12,1.91,,
2020-08-11,1.96,,
2020-08-10,1.94,,
2020-08-07,1.89,,
2020-08-06,1.92,,
2020-08-05,1.95,,
2020-08-04,1.92,,
2020-08-03,1.78,,
2020-07-31,1.66,,
2020-07-30,1.75,,
2020-07-29,1.77,,
2020-07-28,1.73,,
2020-07-27,1.69,,
2020-07-24,1.65,,
2020-07-23,1.63,,
2020-07-22,1.58,,
2020-07-21,1.61,,
2020-07-20,1.56,,
2020-07-17,1.65,,
2020-07-16,1.69,,
2020-07-15,1.68,,
2020-07-14,1.66,,
2020-07-13,1.7,,
2020-07-10,1.69,,
2020-07-09,1.8,,
2020-07-08,1.78,,
2020-07-07,1.82,,
2020-07-06,1.72,,
2020-07-02,1.52,,
2020-07-01,1.55,,
2020-06-30,1.65,,
2020-06-29,1.63,,
2020-06-26,1.43,,
2020-06-25,1.49,,
2020-06-24,1.58,,
2020-06-23,1.53,,
2020-06-22,1.61,,
2020-06-19,1.52,,
2020-06-18,1.5,,
2020-06-17,1.51,,
2020-06-16,1.38,,
2020-06-15,1.45,,
2020-06-12,1.48,,
2020-06-11,1.57,,
2020-06-10,1.6,,
2020-06-09,1.62,,
2020-06-08,1.62,,
2020-06-05,1.59,,
2020-06-04,1.7,,
2020-06-03,1.76,,
2020-06-02,1.63,,
2020-06-01,1.53,,
2020-05-29,1.51,,
2020-05-28,1.65,,
2020-05-27,1.73,,
2020-05-26,1.7,,
2020-05-22,1.52,,
2020-05-21,1.57,,
2020-05-20,1.75,,
2020-05-19,1.76,,
2020-05-18,1.69,,
2020-05-15,1.54,,
2020-05-14,1.51,,
2020-05-13,1.53,,
2020-05-12,1.63,,
2020-05-11,1.74,,
2020-05-08,1.68,,
2020-05-07,1.85,,
2020-05-06,1.9,,
2020-05-05,1.97,,
2020-05-04,1.79,,
2020-05-01,1.71,,
2020-04-30,1.65,,
2020-04-29,1.65,,
2020-04-28,1.71,,
2020-04-27,1.71,,
2020-04-24,1.75,,
2020-04-23,1.83,,
2020-04-22,1.86,,
2020-04-21,1.83,,
2020-04-20,1.74,,
2020-04-17,1.74,,
2020-04-16,1.53,,
2020-04-15,1.62,,
2020-04-14,1.69,,
2020-04-13,1.78,,
2020-04-09,1.64,,
2020-04-08,1.74,,
2020-04-07,1.72,,
2020-04-06,1.65,,
2020-04-03,1.42,,
2020-04-02,1.45,,
2020-04-01,1.51,,
2020-03-31,1.56,,
2020-03-30,1.45,,
2020-03-27,1.37,,
2020-03-26,1.48,,
2020-03-25,1.52,,
2020-03-24,1.54,,
2020-03-23,1.49,,
2020-03-20,1.55,,
2020-03-19,1.54,,
2020-03-18,1.49,,
2020-03-17,1.64,,
2020-03-16,1.69,,
2020-03-13,1.75,,
2020-03-12,1.66,,
2020-03-11,1.78,,
2020-03-10,1.68,,
2020-03-09,1.53,,
2020-03-06,1.52,,
2020-03-05,1.64,,
2020-03-04,1.66,,
2020-03-03,1.6,,
2020-03-02,1.57,,
2020-02-28,1.58,,
2020-02-27,1.63,,
2020-02-26,1.76,,
2020-02-25,1.77,,
2020-02-24,1.73,,
2020-02-21,1.75,,
2020-02-20,1.83,,
2020-02-19,1.9,,
2020-02-18,1.86,,
2020-02-14,1.73,,
2020-02-13,1.8,,
2020-02-12,1.82,,
2020-02-11,1.72,,
2020-02-10,1.7,,
2020-02-07,1.77,,
2020-02-06,1.74,,
2020-02-05,1.74,,
2020-02-04,1.73,,
2020-02-03,1.73,,
2020-01-31,1.67,,
2020-01-30,1.77,,
2020-01-29,1.81,,
2020-01-28,1.82,,
2020-01-27,1.83,,
2020-01-24,1.77,,
2020-01-23,1.82,,
2020-01-22,1.79,,
2020-01-21,1.82,,
2020-01-17,1.97,,
2020-01-16,2,,
2020-01-15,1.98,,
2020-01-14,2.05,,
2020-01-13,2.03,,
2020-01-10,2.02,,
2020-01-09,1.96,,
2020-01-08,1.97,,
2020-01-07,2.02,,
2020-01-06,2.05,,
2020-01-03,1.92,,
2020-01-02,1.93,,
2019-12-31,1.94,,